gene,n_grid,n_pathogenic_grid,n_benign_grid,protein_length,ESM-2 150M AUROC,ESM-2 650M AUROC,ESM-1b 650M AUROC,CaLM AUROC,ESM-2 150M + 650M AUROC,ESM-2 150M + 650M weight_second,ESM-2 650M + ESM-1b 650M AUROC,ESM-2 650M + ESM-1b 650M weight_second,ESM-2 650M + CaLM AUROC,ESM-2 650M + CaLM weight_second,ESM-2 150M + CaLM AUROC,ESM-2 150M + CaLM weight_second,ESM-1b 650M + CaLM AUROC,ESM-1b 650M + CaLM weight_second,650M_minus_150M,150M650M_minus_650M,650M1b_minus_650M,650MCaLM_minus_650M,1bCaLM_minus_1b,650MCaLM_minus_150M650M,650MCaLM_minus_650M1b,codon_dependency_index,delta_delta_auroc,independent_calm_minus_650m,inverse_variance_weight,n_bayes,n_pathogenic_bayes,n_benign_bayes,optimizer,esm2_calm_weight,esm2_calm_auc,esm2_150m_650m_weight_second,esm2_150m_650m_auc,esm1b_calm_weight,esm1b_calm_auc,esm2_650m_auc,esm1b_650m_auc,calm_auc,esm2_cross_modal_gain,esm2_cross_modal_advantage,esm2_gain_over_protein,esm1b_gain_over_protein,esm2_independent_calm_signal,esm1b_independent_calm_signal,n_objective_evals,esm2_calm_weight_bayes_minus_grid,cross_modal_gain_bayes_minus_grid,cross_modal_advantage_bayes_minus_grid
ADGRG1,21,9,12,687,0.8333333333333333,0.7129629629629629,0.75,0.8055555555555556,0.8333333333333333,0.0,0.7592592592592593,0.6900000000000001,0.8240740740740741,0.79,0.8703703703703705,0.12,0.8240740740740741,0.93,-0.1203703703703703,0.1203703703703703,0.0462962962962963,0.1111111111111111,0.074074074074074,-0.0092592592592591,0.0648148148148147,0.79,-0.0092592592592591,0.0925925925925926,5.142857142857143,21,9,12,bayes,0.785,0.8240740740740741,0.0,0.8333333333333333,0.9440000000000001,0.8240740740740741,0.7129629629629629,0.75,0.8055555555555556,0.11111111111111116,-0.00925925925925919,0.11111111111111116,0.07407407407407407,0.09259259259259267,0.05555555555555558,90,-0.0050000000000000044,5.551115123125783e-17,-9.020562075079397e-17
AFG3L2,27,20,7,797,0.65,0.8142857142857143,0.8928571428571428,0.8785714285714286,0.8142857142857143,0.91,0.9142857142857144,0.59,0.8999999999999999,0.84,0.8785714285714286,0.99,0.95,0.5,0.1642857142857142,0.0,0.0999999999999999,0.0857142857142856,0.0571428571428571,0.0857142857142856,-0.0142857142857143,0.84,0.0857142857142856,0.0642857142857142,5.185185185185185,27,20,7,bayes,0.845,0.8999999999999999,1.0,0.8142857142857143,0.5,0.95,0.8142857142857143,0.8928571428571428,0.8785714285714286,0.08571428571428563,0.08571428571428563,0.08571428571428563,0.05714285714285716,0.06428571428571428,-0.014285714285714235,90,0.0050000000000000044,2.7755575615628914e-17,2.7755575615628914e-17
AIFM1,31,16,15,613,0.7916666666666667,0.9083333333333332,0.8208333333333333,0.8333333333333334,0.9083333333333332,0.87,0.9083333333333332,0.0,0.9083333333333332,0.0,0.85,0.71,0.8666666666666667,0.56,0.1166666666666665,0.0,0.0,0.0,0.0458333333333333,0.0,0.0,0.0,0.0,-0.0749999999999999,7.741935483870968,31,16,15,bayes,0.0,0.9083333333333333,1.0,0.9083333333333333,0.634,0.8666666666666667,0.9083333333333333,0.8208333333333333,0.8333333333333334,0.0,0.0,0.0,0.04583333333333339,-0.07499999999999996,0.012500000000000067,90,0.0,0.0,0.0
AIRE,36,25,11,545,0.7236363636363637,0.9781818181818182,0.9636363636363636,0.7527272727272728,0.9781818181818182,1.0,0.9927272727272728,0.09,0.9781818181818182,0.0,0.7781818181818181,0.68,0.9781818181818182,0.5,0.2545454545454544,0.0,0.0145454545454545,0.0,0.0145454545454545,0.0,-0.0145454545454545,0.0,0.0,-0.2254545454545453,7.638888888888889,36,25,11,bayes,0.0,0.9781818181818182,1.0,0.9781818181818182,0.5,0.9781818181818182,0.9781818181818182,0.9636363636363636,0.7527272727272728,0.0,0.0,0.0,0.014545454545454528,-0.22545454545454535,-0.21090909090909082,90,0.0,0.0,0.0
AK2,10,5,5,239,1.0,1.0,0.96,0.96,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.46,0.0,0.0,0.0,0.0,0.0399999999999999,0.0,0.0,0.0,0.0,-0.0399999999999999,2.5,10,5,5,bayes,0.0,1.0,0.0,1.0,0.5,1.0,1.0,0.9600000000000001,0.9600000000000001,0.0,0.0,0.0,0.039999999999999925,-0.039999999999999925,0.0,90,0.0,0.0,0.0
ALAS2,21,15,6,587,0.6111111111111112,0.7222222222222222,0.9444444444444444,0.8222222222222223,0.7222222222222222,0.98,0.9444444444444444,0.89,0.8222222222222223,0.72,0.8444444444444444,0.59,0.9444444444444444,0.19,0.111111111111111,0.0,0.2222222222222222,0.1,1.1102230246251563e-16,0.1,-0.1222222222222221,0.72,0.1,0.1,4.285714285714286,21,15,6,bayes,1.0,0.8222222222222223,1.0,0.7222222222222222,0.196,0.9444444444444445,0.7222222222222222,0.9444444444444444,0.8222222222222223,0.10000000000000009,0.10000000000000009,0.10000000000000009,1.1102230246251565e-16,0.10000000000000009,-0.12222222222222212,90,0.28,8.326672684688674e-17,8.326672684688674e-17
ALDH18A1,28,18,10,795,0.7388888888888889,0.7722222222222221,0.9388888888888888,0.7555555555555555,0.7944444444444445,0.6,0.9444444444444444,0.94,0.8,0.44,0.7722222222222223,0.6900000000000001,0.9388888888888888,0.0,0.0333333333333332,0.0222222222222223,0.1722222222222222,0.0277777777777779,0.0,0.0055555555555555,-0.1444444444444443,0.44,0.0055555555555555,-0.0166666666666666,6.428571428571429,28,18,10,bayes,0.5,0.8,0.775,0.8,0.0,0.9388888888888889,0.7722222222222221,0.9388888888888889,0.7555555555555555,0.0277777777777779,0.0,0.0277777777777779,0.0,-0.016666666666666607,-0.18333333333333335,90,0.06,0.0,-0.0055555555555555
ALDH3A2,26,19,7,485,1.0,0.9774436090225564,0.9924812030075189,0.9924812030075189,1.0,0.0,1.0,0.1,0.9924812030075189,0.19,1.0,0.0,1.0,0.04,-0.0225563909774435,0.0225563909774435,0.0225563909774435,0.0150375939849624,0.0075187969924811,-0.0075187969924811,-0.0075187969924811,0.19,-0.0075187969924811,0.0150375939849624,5.115384615384615,26,19,7,bayes,1.0,0.9924812030075189,0.0,1.0,0.5,1.0,0.9774436090225564,0.9924812030075189,0.9924812030075189,0.015037593984962405,-0.007518796992481147,0.015037593984962405,0.007518796992481147,0.015037593984962405,0.0,90,0.81,5.204170427930421e-18,-4.683753385137379e-17
ALDH5A1,53,47,6,535,0.9148936170212766,0.9716312056737588,0.99645390070922,0.946808510638298,0.975177304964539,0.91,1.0,0.41,0.9893617021276596,0.32,0.9609929078014184,0.4,1.0,0.01,0.0567375886524822,0.0035460992907802,0.0283687943262411,0.0177304964539007,0.00354609929078,0.0141843971631205,-0.0106382978723403,0.32,0.0141843971631205,-0.0248226950354609,5.320754716981132,53,47,6,bayes,0.5,0.9893617021276596,0.9530000000000001,0.975177304964539,0.402,1.0,0.9716312056737588,0.9964539007092199,0.9468085106382979,0.01773049645390079,0.014184397163120588,0.01773049645390079,0.0035460992907800915,-0.024822695035460973,-0.04964539007092206,90,0.18,9.020562075079397e-17,8.847089727481716e-17
ALG1,25,15,10,464,0.9466666666666668,0.9333333333333332,0.9133333333333332,0.92,0.96,0.05,0.9466666666666668,0.5700000000000001,0.9866666666666668,0.47,0.96,0.07,0.9533333333333334,0.56,-0.0133333333333334,0.0266666666666666,0.0133333333333334,0.0533333333333333,0.04,0.0266666666666667,0.0399999999999999,0.47,0.0266666666666667,-0.0133333333333333,6.0,25,15,10,bayes,0.47000000000000003,0.9866666666666667,0.145,0.96,0.654,0.9533333333333334,0.9333333333333333,0.9133333333333333,0.92,0.053333333333333344,0.026666666666666727,0.053333333333333344,0.040000000000000036,-0.013333333333333308,0.00666666666666671,90,5.551115123125783e-17,4.163336342344337e-17,2.7755575615628914e-17
ALOXE3,11,5,6,711,0.6,0.9000000000000001,0.9333333333333332,0.7666666666666666,0.9000000000000001,1.0,0.9333333333333332,0.47,1.0,0.49,0.8333333333333334,0.64,1.0,0.38,0.3000000000000001,0.0,0.0333333333333332,0.0999999999999998,0.0666666666666666,0.0999999999999998,0.0666666666666666,0.49,0.0999999999999998,-0.1333333333333335,2.727272727272727,11,5,6,bayes,0.5,1.0,1.0,0.9000000000000001,0.5,1.0,0.9000000000000001,0.9333333333333333,0.7666666666666666,0.09999999999999987,0.09999999999999987,0.09999999999999987,0.06666666666666665,-0.13333333333333353,-0.16666666666666674,90,0.010000000000000009,6.938893903907228e-17,6.938893903907228e-17
AMHR2,13,7,6,573,0.7857142857142857,0.8333333333333334,0.9047619047619048,0.7142857142857143,0.8333333333333334,0.67,0.9047619047619048,0.7000000000000001,0.8333333333333334,0.0,0.8095238095238095,0.17,0.9047619047619048,0.0,0.0476190476190476,0.0,0.0714285714285715,0.0,0.0,0.0,-0.0714285714285715,0.0,0.0,-0.119047619047619,3.230769230769231,13,7,6,bayes,0.0,0.8333333333333334,1.0,0.8333333333333334,0.0,0.9047619047619049,0.8333333333333334,0.9047619047619049,0.7142857142857143,0.0,0.0,0.0,0.0,-0.11904761904761907,-0.19047619047619058,90,0.0,0.0,0.0
ANO3,14,5,9,981,1.0,1.0,1.0,0.8666666666666667,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1333333333333333,3.2142857142857144,14,5,9,bayes,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.8666666666666667,0.0,0.0,0.0,0.0,-0.1333333333333333,-0.1333333333333333,90,0.0,0.0,0.0
ANOS1,17,7,10,680,0.9428571428571428,0.9571428571428572,0.9142857142857144,0.8714285714285714,1.0,0.26,0.9571428571428572,0.0,1.0,0.08,0.9714285714285716,0.13,1.0,0.38,0.0142857142857143,0.0428571428571428,0.0,0.0428571428571428,0.0857142857142857,0.0,0.0428571428571428,0.08,0.0,-0.0857142857142857,4.117647058823529,17,7,10,bayes,0.26,1.0,0.5,1.0,0.394,1.0,0.9571428571428572,0.9142857142857143,0.8714285714285714,0.042857142857142816,0.0,0.042857142857142816,0.08571428571428574,-0.08571428571428574,-0.042857142857142816,90,0.18,1.3877787807814457e-17,0.0
APP,32,16,16,770,0.4921875,0.5078125,0.87890625,0.49609375,0.5078125,0.6900000000000001,0.87890625,0.99,0.51953125,0.09,0.5,0.01,0.8828125,0.15,0.015625,0.0,0.37109375,0.01171875,0.00390625,0.01171875,-0.359375,0.09,0.01171875,-0.01171875,8.0,32,16,16,bayes,0.099,0.51953125,1.0,0.5078125,0.28200000000000003,0.8828125,0.5078125,0.87890625,0.49609375,0.01171875,0.01171875,0.01171875,0.00390625,-0.01171875,-0.3828125,90,0.009000000000000008,0.0,0.0
AR,128,99,29,920,0.5541623127830024,0.6464646464646464,0.9240682688958552,0.6544757924068269,0.6464646464646464,1.0,0.92511320097527,0.96,0.6614420062695926,0.86,0.6572622779519331,0.9,0.9240682688958552,0.0,0.0923023336816439,0.0,0.2786485545106235,0.0149773598049461,0.0,0.0149773598049461,-0.2636711947056773,0.86,0.0149773598049461,0.0080111459421804,22.4296875,128,99,29,bayes,0.865,0.6617903169627308,1.0,0.6464646464646464,0.0,0.9240682688958551,0.6464646464646464,0.9240682688958551,0.6544757924068269,0.01532567049808442,0.01532567049808442,0.01532567049808442,0.0,0.008011145942180442,-0.2695924764890283,90,0.0050000000000000044,0.0003483106931383203,0.0003483106931383203
ARSA,128,118,10,509,0.7677966101694915,0.8500000000000001,0.8466101694915255,0.6652542372881356,0.8500000000000001,1.0,0.8601694915254238,0.6900000000000001,0.8500000000000001,0.0,0.771186440677966,0.11,0.8474576271186441,0.01,0.0822033898305085,0.0,0.0101694915254236,0.0,0.0008474576271186,0.0,-0.0101694915254236,0.0,0.0,-0.1847457627118645,9.21875,128,118,10,bayes,0.0,0.8500000000000001,1.0,0.8500000000000001,0.021,0.8474576271186441,0.8500000000000001,0.8466101694915255,0.6652542372881356,0.0,0.0,0.0,0.0008474576271186862,-0.1847457627118645,-0.18135593220338986,90,0.0,0.0,0.0
ARSB,66,59,7,533,0.8426150121065377,0.8353510895883778,0.7893462469733656,0.7336561743341403,0.8547215496368039,0.19,0.8353510895883778,0.0,0.8401937046004843,0.06,0.8474576271186443,0.03,0.8038740920096853,0.43,-0.0072639225181598,0.0193704600484261,0.0,0.0048426150121064,0.0145278450363196,-0.0145278450363196,0.0048426150121064,0.06,-0.0145278450363196,-0.1016949152542374,6.257575757575758,66,59,7,bayes,0.10300000000000001,0.8401937046004843,0.223,0.8547215496368037,0.5,0.8038740920096853,0.8353510895883778,0.7893462469733656,0.7336561743341403,0.004842615012106477,-0.014527845036319431,0.004842615012106477,0.014527845036319653,-0.10169491525423746,-0.05569007263922532,90,0.04300000000000001,7.719519468096792e-17,1.682681771697503e-16
ARSL,28,10,18,589,0.6111111111111112,0.8055555555555556,0.8388888888888888,0.5111111111111111,0.8166666666666667,0.91,0.8555555555555556,0.84,0.8166666666666667,0.06,0.6111111111111112,0.0,0.8388888888888888,0.0,0.1944444444444444,0.011111111111111,0.05,0.011111111111111,0.0,0.0,-0.0388888888888889,0.06,0.0,-0.2944444444444445,6.428571428571429,28,10,18,bayes,0.06,0.8166666666666667,0.911,0.8166666666666667,0.0,0.8388888888888888,0.8055555555555556,0.8388888888888888,0.5111111111111111,0.011111111111111072,0.0,0.011111111111111072,0.0,-0.2944444444444445,-0.3277777777777777,90,0.0,7.112366251504909e-17,0.0
ARX,45,20,25,562,0.8280000000000001,0.92,0.928,0.902,0.92,0.8,0.972,0.53,0.928,0.63,0.902,0.97,0.964,0.38,0.0919999999999998,0.0,0.052,0.0080000000000001,0.036,0.0080000000000001,-0.0439999999999999,0.63,0.0080000000000001,-0.018,11.11111111111111,45,20,25,bayes,0.63,0.928,1.0,0.9199999999999999,0.384,0.962,0.9199999999999999,0.9279999999999999,0.9019999999999999,0.008000000000000118,0.008000000000000118,0.008000000000000118,0.03400000000000003,-0.018000000000000016,-0.026000000000000023,90,0.0,1.734723475976807e-17,1.734723475976807e-17
ASAH1,36,27,9,395,0.6790123456790124,0.8148148148148148,0.7983539094650206,0.5432098765432098,0.8189300411522633,0.95,0.8230452674897119,0.33,0.8353909465020577,0.45,0.691358024691358,0.42,0.7983539094650206,0.0,0.1358024691358024,0.0041152263374485,0.008230452674897,0.0205761316872429,0.0,0.0164609053497943,0.0123456790123458,0.45,0.0164609053497943,-0.2716049382716049,6.75,36,27,9,bayes,0.468,0.8353909465020577,0.9560000000000001,0.8189300411522633,0.0,0.7983539094650206,0.8148148148148148,0.7983539094650206,0.5432098765432098,0.020576131687242927,0.016460905349794386,0.020576131687242927,0.0,-0.2716049382716049,-0.25514403292181076,90,0.018000000000000016,2.7755575615628914e-17,8.673617379884035e-17
ASL,66,61,5,464,0.8786885245901639,0.8688524590163934,0.940983606557377,0.9442622950819672,0.898360655737705,0.53,0.9442622950819672,0.95,0.9475409836065574,0.78,0.9639344262295082,0.6900000000000001,0.9672131147540984,0.38,-0.0098360655737704,0.0295081967213115,0.0754098360655737,0.0786885245901639,0.0262295081967213,0.0491803278688524,0.0032786885245902,0.78,0.0491803278688524,0.0754098360655738,4.621212121212121,66,61,5,bayes,0.8150000000000001,0.9475409836065574,0.536,0.898360655737705,0.401,0.9672131147540983,0.8688524590163934,0.940983606557377,0.9442622950819672,0.07868852459016396,0.0491803278688524,0.07868852459016396,0.02622950819672132,0.07540983606557383,0.003278688524590234,90,0.03500000000000003,5.551115123125783e-17,0.0
ASPA,38,33,5,313,0.8303030303030303,0.9090909090909092,0.8727272727272727,0.7090909090909091,0.9272727272727274,0.67,0.9090909090909092,0.0,0.9333333333333332,0.45,0.8909090909090909,0.5,0.9090909090909092,0.4,0.0787878787878787,0.0181818181818183,0.0,0.0242424242424242,0.0363636363636364,0.0060606060606059,0.0242424242424242,0.45,0.0060606060606059,-0.1999999999999999,4.342105263157895,38,33,5,bayes,0.5,0.9333333333333333,0.677,0.9272727272727274,0.578,0.9090909090909092,0.9090909090909091,0.8727272727272727,0.7090909090909091,0.024242424242424288,0.006060606060605989,0.024242424242424288,0.03636363636363649,-0.19999999999999996,-0.16363636363636358,90,0.04999999999999999,8.673617379884035e-17,8.847089727481716e-17
ATP1A2,52,45,7,1020,0.9428571428571428,0.9904761904761904,0.9968253968253968,0.968253968253968,0.9904761904761904,0.71,1.0,0.32,0.9936507936507936,0.02,0.9809523809523808,0.59,1.0,0.11,0.0476190476190475,0.0,0.0095238095238096,0.0031746031746032,0.0031746031746031,0.0031746031746032,-0.0063492063492063,0.02,0.0031746031746032,-0.0222222222222222,6.057692307692308,52,45,7,bayes,0.763,0.9936507936507937,1.0,0.9904761904761904,0.5,1.0,0.9904761904761904,0.9968253968253968,0.9682539682539681,0.0031746031746032743,0.0031746031746032743,0.0031746031746032743,0.0031746031746031633,-0.022222222222222254,-0.028571428571428692,90,0.743,7.41594285980085e-17,7.41594285980085e-17
ATP1A3,94,84,10,1013,0.8607142857142858,0.9547619047619048,0.8761904761904762,0.8416666666666668,0.9571428571428572,0.93,0.9607142857142856,0.31,0.9595238095238094,0.06,0.8773809523809524,0.33,0.9107142857142856,0.31,0.0940476190476189,0.0023809523809523,0.005952380952381,0.0047619047619047,0.0345238095238095,0.0023809523809523,-0.0011904761904762,0.06,0.0023809523809523,-0.1130952380952379,8.936170212765957,94,84,10,bayes,0.056,0.9595238095238094,0.9550000000000001,0.9571428571428571,0.406,0.9107142857142857,0.9547619047619047,0.8761904761904762,0.8416666666666668,0.004761904761904745,0.0023809523809523725,0.004761904761904745,0.03452380952380951,-0.11309523809523792,-0.0345238095238094,90,-0.003999999999999997,4.5102810375396984e-17,7.24247051220317e-17
ATP6V1B2,12,6,6,511,0.8611111111111112,1.0,0.9444444444444444,1.0,1.0,0.21,1.0,0.0,1.0,0.0,1.0,0.15,1.0,0.12,0.1388888888888888,0.0,0.0,0.0,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,3.0,12,6,6,bayes,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,1.0,0.0,0.0,0.0,0.05555555555555558,0.0,0.05555555555555558,90,0.0,0.0,0.0
