gene,n,n_pathogenic,n_benign,optimizer,esm2_calm_weight,esm2_calm_auc,esm2_150m_650m_weight_second,esm2_150m_650m_auc,esm1b_calm_weight,esm1b_calm_auc,esm2_650m_auc,esm1b_650m_auc,calm_auc,esm2_cross_modal_gain,esm2_cross_modal_advantage,esm2_gain_over_protein,esm1b_gain_over_protein,esm2_independent_calm_signal,esm1b_independent_calm_signal,n_objective_evals
ALDH5A1,53,47,6,bayes,0.5,0.9893617021276596,0.9530000000000001,0.975177304964539,0.402,1.0,0.9716312056737588,0.9964539007092199,0.9468085106382979,0.01773049645390079,0.014184397163120588,0.01773049645390079,0.0035460992907800915,-0.024822695035460973,-0.04964539007092206,90
ALG1,25,15,10,bayes,0.47000000000000003,0.9866666666666667,0.145,0.96,0.654,0.9533333333333334,0.9333333333333333,0.9133333333333333,0.92,0.053333333333333344,0.026666666666666727,0.053333333333333344,0.040000000000000036,-0.013333333333333308,0.00666666666666671,90
ALOXE3,11,5,6,bayes,0.5,1.0,1.0,0.9000000000000001,0.5,1.0,0.9000000000000001,0.9333333333333333,0.7666666666666666,0.09999999999999987,0.09999999999999987,0.09999999999999987,0.06666666666666665,-0.13333333333333353,-0.16666666666666674,90
AMHR2,13,7,6,bayes,0.0,0.8333333333333334,1.0,0.8333333333333334,0.0,0.9047619047619049,0.8333333333333334,0.9047619047619049,0.7142857142857143,0.0,0.0,0.0,0.0,-0.11904761904761907,-0.19047619047619058,90
ANO3,14,5,9,bayes,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.8666666666666667,0.0,0.0,0.0,0.0,-0.1333333333333333,-0.1333333333333333,90
ANOS1,17,7,10,bayes,0.26,1.0,0.5,1.0,0.394,1.0,0.9571428571428572,0.9142857142857143,0.8714285714285714,0.042857142857142816,0.0,0.042857142857142816,0.08571428571428574,-0.08571428571428574,-0.042857142857142816,90
APP,32,16,16,bayes,0.099,0.51953125,1.0,0.5078125,0.28200000000000003,0.8828125,0.5078125,0.87890625,0.49609375,0.01171875,0.01171875,0.01171875,0.00390625,-0.01171875,-0.3828125,90
AR,128,99,29,bayes,0.865,0.6617903169627308,1.0,0.6464646464646464,0.0,0.9240682688958551,0.6464646464646464,0.9240682688958551,0.6544757924068269,0.01532567049808442,0.01532567049808442,0.01532567049808442,0.0,0.008011145942180442,-0.2695924764890283,90
ARSA,128,118,10,bayes,0.0,0.8500000000000001,1.0,0.8500000000000001,0.021,0.8474576271186441,0.8500000000000001,0.8466101694915255,0.6652542372881356,0.0,0.0,0.0,0.0008474576271186862,-0.1847457627118645,-0.18135593220338986,90
ARSB,66,59,7,bayes,0.10300000000000001,0.8401937046004843,0.223,0.8547215496368037,0.5,0.8038740920096853,0.8353510895883778,0.7893462469733656,0.7336561743341403,0.004842615012106477,-0.014527845036319431,0.004842615012106477,0.014527845036319653,-0.10169491525423746,-0.05569007263922532,90
ARSL,28,10,18,bayes,0.06,0.8166666666666667,0.911,0.8166666666666667,0.0,0.8388888888888888,0.8055555555555556,0.8388888888888888,0.5111111111111111,0.011111111111111072,0.0,0.011111111111111072,0.0,-0.2944444444444445,-0.3277777777777777,90
ARX,45,20,25,bayes,0.63,0.928,1.0,0.9199999999999999,0.384,0.962,0.9199999999999999,0.9279999999999999,0.9019999999999999,0.008000000000000118,0.008000000000000118,0.008000000000000118,0.03400000000000003,-0.018000000000000016,-0.026000000000000023,90
ASAH1,36,27,9,bayes,0.468,0.8353909465020577,0.9560000000000001,0.8189300411522633,0.0,0.7983539094650206,0.8148148148148148,0.7983539094650206,0.5432098765432098,0.020576131687242927,0.016460905349794386,0.020576131687242927,0.0,-0.2716049382716049,-0.25514403292181076,90
ASL,66,61,5,bayes,0.8150000000000001,0.9475409836065574,0.536,0.898360655737705,0.401,0.9672131147540983,0.8688524590163934,0.940983606557377,0.9442622950819672,0.07868852459016396,0.0491803278688524,0.07868852459016396,0.02622950819672132,0.07540983606557383,0.003278688524590234,90
ASPA,38,33,5,bayes,0.5,0.9333333333333333,0.677,0.9272727272727274,0.578,0.9090909090909092,0.9090909090909091,0.8727272727272727,0.7090909090909091,0.024242424242424288,0.006060606060605989,0.024242424242424288,0.03636363636363649,-0.19999999999999996,-0.16363636363636358,90
ATP1A2,52,45,7,bayes,0.763,0.9936507936507937,1.0,0.9904761904761904,0.5,1.0,0.9904761904761904,0.9968253968253968,0.9682539682539681,0.0031746031746032743,0.0031746031746032743,0.0031746031746032743,0.0031746031746031633,-0.022222222222222254,-0.028571428571428692,90
ATP1A3,94,84,10,bayes,0.056,0.9595238095238094,0.9550000000000001,0.9571428571428571,0.406,0.9107142857142857,0.9547619047619047,0.8761904761904762,0.8416666666666668,0.004761904761904745,0.0023809523809523725,0.004761904761904745,0.03452380952380951,-0.11309523809523792,-0.0345238095238094,90
ATP6V1B2,12,6,6,bayes,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,1.0,0.0,0.0,0.0,0.05555555555555558,0.0,0.05555555555555558,90
AVPR2,47,26,21,bayes,0.5,1.0,0.683,0.9908424908424908,0.296,1.0,0.9835164835164835,0.9963369963369962,0.9963369963369964,0.016483516483516536,0.009157509157509236,0.016483516483516536,0.003663003663003761,0.012820512820512886,1.1102230246251565e-16,90
BAG3,15,5,10,bayes,0.521,0.9,1.0,0.8400000000000001,0.5,1.0,0.8400000000000001,0.98,0.72,0.05999999999999994,0.05999999999999994,0.05999999999999994,0.020000000000000018,-0.1200000000000001,-0.26,90
BAP1,15,10,5,bayes,0.0,0.96,0.0,0.9800000000000001,1.0,0.96,0.96,0.9400000000000001,0.96,0.0,-0.02000000000000013,0.0,0.019999999999999907,0.0,0.019999999999999907,90
BBS12,13,6,7,bayes,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.9761904761904763,0.0,0.0,0.0,0.0,-0.023809523809523725,-0.023809523809523725,90
BCKDHA,33,27,6,bayes,0.0,0.9876543209876544,0.5,1.0,0.308,0.9506172839506173,0.9876543209876544,0.9259259259259259,0.9012345679012346,0.0,-0.012345679012345623,0.0,0.024691358024691357,-0.0864197530864198,-0.024691358024691357,90
BCL11A,19,11,8,bayes,0.0,0.8068181818181819,1.0,0.8068181818181819,0.0,0.8409090909090908,0.8068181818181819,0.8409090909090908,0.7727272727272727,0.0,0.0,0.0,0.0,-0.03409090909090917,-0.06818181818181812,90
BICD2,99,23,76,bayes,0.0,0.9588100686498856,1.0,0.9588100686498856,0.0,0.9759725400457665,0.9588100686498856,0.9759725400457665,0.5823798627002288,0.0,0.0,0.0,0.0,-0.3764302059496568,-0.3935926773455377,90
BMPR1B,25,5,20,bayes,0.147,1.0,0.92,1.0,0.269,0.96,0.99,0.9500000000000001,0.7999999999999999,0.010000000000000009,0.0,0.010000000000000009,0.009999999999999898,-0.19000000000000006,-0.15000000000000013,90
BRAF,79,70,9,bayes,0.0,0.9714285714285714,1.0,0.9714285714285714,0.34900000000000003,0.9619047619047619,0.9714285714285714,0.9492063492063492,0.8015873015873016,0.0,0.0,0.0,0.012698412698412764,-0.1698412698412698,-0.14761904761904754,90
BRAT1,21,5,16,bayes,0.34500000000000003,0.9875,1.0,0.975,0.158,0.95,0.975,0.9375,0.8625,0.012500000000000067,0.012500000000000067,0.012500000000000067,0.012499999999999956,-0.11249999999999993,-0.07499999999999996,90
BTK,86,76,10,bayes,0.324,0.9947368421052633,1.0,0.9881578947368421,0.796,0.9763157894736842,0.9881578947368421,0.9552631578947368,0.9368421052631578,0.006578947368421129,0.006578947368421129,0.006578947368421129,0.021052631578947434,-0.051315789473684315,-0.018421052631579005,90
C1R,23,12,11,bayes,0.5,1.0,0.5,0.9924242424242424,1.0,0.9924242424242424,0.9848484848484849,0.9848484848484848,0.9924242424242424,0.015151515151515138,0.007575757575757569,0.015151515151515138,0.00757575757575768,0.007575757575757569,0.00757575757575768,90
CAMK2B,62,5,57,bayes,0.607,0.905263157894737,1.0,0.8842105263157894,0.378,1.0,0.8842105263157894,0.9122807017543859,0.8877192982456141,0.021052631578947545,0.021052631578947545,0.021052631578947545,0.08771929824561409,0.0035087719298246833,-0.024561403508771784,90
CASK,45,27,18,bayes,0.036000000000000004,0.7407407407407407,0.631,0.757201646090535,0.279,0.7078189300411523,0.7345679012345679,0.691358024691358,0.6193415637860082,0.006172839506172756,-0.016460905349794275,0.006172839506172756,0.016460905349794275,-0.1152263374485597,-0.07201646090534974,90
CBL,18,8,10,bayes,0.5,0.9624999999999999,0.0,0.9750000000000001,0.0,0.9875,0.9375,0.9875,0.8875,0.02499999999999991,-0.012500000000000178,0.02499999999999991,0.0,-0.050000000000000044,-0.10000000000000009,90
CCN6,15,10,5,bayes,0.5,1.0,0.0,0.8,0.0,1.0,0.78,1.0,0.9800000000000001,0.21999999999999997,0.19999999999999996,0.21999999999999997,0.0,0.20000000000000007,-0.019999999999999907,90
CD40LG,37,26,11,bayes,0.0,0.972027972027972,0.737,0.9825174825174825,0.0,0.9895104895104895,0.972027972027972,0.9895104895104895,0.7552447552447553,0.0,-0.010489510489510523,0.0,0.0,-0.21678321678321666,-0.23426573426573416,90
CDH1,106,17,89,bayes,0.5,0.9173826834104428,0.863,0.9068076668869796,0.903,0.8889623265036352,0.9015201586252478,0.6457369464639788,0.8790482485128883,0.01586252478519501,0.010575016523463265,0.01586252478519501,0.24322538003965632,-0.022471910112359494,0.23331130204890949,90
CDKL5,166,104,62,bayes,0.244,0.9925558312655087,1.0,0.9919354838709677,0.29,0.9956575682382134,0.9919354838709677,0.9934863523573201,0.9519230769230769,0.0006203473945409765,0.0006203473945409765,0.0006203473945409765,0.002171215880893307,-0.04001240694789088,-0.04156327543424321,90
CDKN2A,26,21,5,bayes,0.0,0.8666666666666666,0.767,0.8761904761904762,0.0,1.0,0.8666666666666666,1.0,0.8095238095238095,0.0,-0.009523809523809601,0.0,0.0,-0.05714285714285705,-0.19047619047619047,90
CERT1,13,6,7,bayes,0.5,1.0,1.0,0.9761904761904763,0.0,1.0,0.9761904761904763,1.0,0.9523809523809523,0.023809523809523725,0.023809523809523725,0.023809523809523725,0.0,-0.023809523809523947,-0.04761904761904767,90
CFI,19,5,14,bayes,0.0,0.9714285714285715,0.0,0.9714285714285715,0.0,1.0,0.9714285714285715,1.0,0.8857142857142857,0.0,0.0,0.0,0.0,-0.08571428571428585,-0.11428571428571432,90
CHAT,33,17,16,bayes,0.439,1.0,1.0,0.9926470588235294,0.5,1.0,0.9926470588235294,0.9963235294117647,0.9227941176470589,0.007352941176470562,0.007352941176470562,0.007352941176470562,0.003676470588235281,-0.06985294117647056,-0.07352941176470584,90
CHEK2,10,5,5,bayes,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.0,0.0,0.0,-0.07999999999999996,-0.07999999999999996,90
CHM,32,6,26,bayes,0.0,0.9423076923076923,1.0,0.9423076923076923,0.558,0.9166666666666667,0.9423076923076923,0.9038461538461537,0.8141025641025641,0.0,0.0,0.0,0.012820512820512997,-0.1282051282051282,-0.08974358974358965,90
CHRNE,32,25,7,bayes,0.723,0.9771428571428571,0.433,0.9942857142857143,0.5,0.9771428571428571,0.9314285714285715,0.9542857142857142,0.8857142857142856,0.045714285714285596,-0.017142857142857237,0.045714285714285596,0.02285714285714291,-0.04571428571428593,-0.06857142857142862,90
CHST3,20,13,7,bayes,0.0,1.0,0.0,1.0,0.5,1.0,1.0,0.989010989010989,0.9340659340659341,0.0,0.0,0.0,0.01098901098901095,-0.06593406593406592,-0.05494505494505497,90
CLCN1,84,75,9,bayes,0.278,0.9392592592592592,0.601,0.9259259259259258,0.28500000000000003,0.9570370370370371,0.9214814814814815,0.9466666666666667,0.9037037037037037,0.01777777777777778,0.01333333333333342,0.01777777777777778,0.010370370370370474,-0.01777777777777778,-0.04296296296296298,90
CLCN4,39,23,16,bayes,0.005,0.8858695652173914,1.0,0.8858695652173912,0.375,0.8396739130434783,0.8858695652173912,0.8315217391304348,0.7717391304347826,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.008152173913043459,-0.11413043478260865,-0.05978260869565222,90
CLCN5,17,11,6,bayes,0.5,1.0,0.0,0.9696969696969697,0.0,1.0,0.9696969696969697,1.0,0.9696969696969697,0.030303030303030276,0.030303030303030276,0.030303030303030276,0.0,0.0,-0.030303030303030276,90
CLCN7,50,31,19,bayes,0.442,0.9422750424448216,0.578,0.9320882852292021,0.549,0.9422750424448217,0.9185059422750425,0.9252971137521223,0.8777589134125637,0.023769100169779178,0.010186757215619568,0.023769100169779178,0.01697792869269943,-0.04074702886247872,-0.04753820033955858,90
CLCNKB,36,15,21,bayes,0.209,0.9936507936507937,0.606,0.9968253968253968,0.221,0.9873015873015873,0.9873015873015873,0.9714285714285714,0.9111111111111111,0.006349206349206327,-0.0031746031746031633,0.006349206349206327,0.015873015873015928,-0.07619047619047625,-0.060317460317460325,90
CNGA1,12,5,7,bayes,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8571428571428572,0.0,0.0,0.0,0.0,-0.1428571428571428,-0.1428571428571428,90
CNGA3,93,83,10,bayes,0.433,0.9722891566265061,0.634,0.9566265060240964,0.337,0.9710843373493976,0.9493975903614458,0.9602409638554217,0.9313253012048193,0.02289156626506028,0.015662650602409678,0.02289156626506028,0.010843373493975905,-0.01807228915662651,-0.028915662650602414,90
CNGB3,27,7,20,bayes,0.745,0.9,0.676,0.8785714285714284,0.79,0.8785714285714286,0.8714285714285713,0.8285714285714286,0.8642857142857143,0.028571428571428692,0.021428571428571574,0.028571428571428692,0.04999999999999993,-0.0071428571428570065,0.0357142857142857,90
CNNM2,16,8,8,bayes,0.0,0.96875,1.0,0.96875,0.0,0.90625,0.96875,0.90625,0.765625,0.0,0.0,0.0,0.0,-0.203125,-0.140625,90
CNOT3,16,8,8,bayes,1.0,0.90625,1.0,0.78125,0.251,1.0,0.78125,0.984375,0.90625,0.125,0.125,0.125,0.015625,0.125,-0.078125,90
COL10A1,44,18,26,bayes,0.905,0.7649572649572649,0.111,0.7307692307692308,0.276,0.7884615384615385,0.7136752136752137,0.782051282051282,0.7564102564102564,0.05128205128205121,0.03418803418803407,0.05128205128205121,0.0064102564102564985,0.042735042735042694,-0.02564102564102566,90
COL6A2,95,51,44,bayes,0.8180000000000001,0.9888591800356505,0.0,0.9719251336898396,0.865,0.9844028520499108,0.9625668449197861,0.9518716577540107,0.979946524064171,0.026292335115864485,0.01693404634581097,0.026292335115864485,0.03253119429590012,0.017379679144384985,0.028074866310160318,90
COMP,111,102,9,bayes,0.169,0.9161220043572984,0.898,0.9161220043572984,0.352,0.9117647058823529,0.9139433551198257,0.89760348583878,0.8562091503267975,0.002178649237472685,0.0,0.002178649237472685,0.014161220043572897,-0.057734204793028265,-0.04139433551198257,90
COQ4,12,6,6,bayes,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.8333333333333333,0.9722222222222223,0.0,0.0,0.0,0.16666666666666674,-0.02777777777777768,0.13888888888888906,90
COQ8A,27,18,9,bayes,0.5,1.0,1.0,0.9876543209876543,0.0,1.0,0.9876543209876543,1.0,0.962962962962963,0.012345679012345734,0.012345679012345734,0.012345679012345734,0.0,-0.024691358024691246,-0.03703703703703698,90
COQ8B,13,5,8,bayes,1.0,1.0,0.0,0.975,0.0,1.0,0.975,1.0,1.0,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.0,0.025000000000000022,0.0,90
CPT1A,27,13,14,bayes,0.34700000000000003,0.9120879120879121,0.492,0.9175824175824177,0.0,0.945054945054945,0.8901098901098901,0.945054945054945,0.7912087912087912,0.02197802197802201,-0.005494505494505586,0.02197802197802201,0.0,-0.09890109890109888,-0.15384615384615385,90
CPT2,25,15,10,bayes,0.0,0.9133333333333333,0.862,0.92,0.0,0.9466666666666668,0.9133333333333333,0.9466666666666668,0.7533333333333333,0.0,-0.00666666666666671,0.0,0.0,-0.16000000000000003,-0.19333333333333347,90
CSF1R,84,27,57,bayes,0.557,0.967511371020143,0.378,0.9772579597141,0.079,0.9870045484080572,0.9512670565302144,0.9863547758284601,0.9636127355425601,0.01624431448992858,-0.009746588693957059,0.01624431448992858,0.0006497725795970855,0.012345679012345734,-0.02274204028589999,90
CSNK2A1,23,17,6,bayes,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90
CTCF,34,29,5,bayes,0.101,0.9517241379310345,1.0,0.9448275862068966,0.5,0.9586206896551724,0.9448275862068966,0.9379310344827587,0.7931034482758621,0.006896551724137945,0.006896551724137945,0.006896551724137945,0.020689655172413723,-0.15172413793103445,-0.14482758620689662,90
CTNNB1,16,11,5,bayes,0.0,0.9090909090909092,0.016,0.9454545454545455,0.0,0.8545454545454545,0.9090909090909092,0.8545454545454545,0.6727272727272727,0.0,-0.036363636363636376,0.0,0.0,-0.23636363636363644,-0.18181818181818177,90
CTNS,28,18,10,bayes,1.0,0.9722222222222221,0.5,0.9222222222222222,0.5,1.0,0.9166666666666666,0.9777777777777779,0.9722222222222221,0.05555555555555547,0.04999999999999993,0.05555555555555547,0.022222222222222143,0.05555555555555547,-0.005555555555555758,90
CUL3,15,8,7,bayes,1.0,0.9642857142857143,0.5,0.9642857142857143,1.0,0.9642857142857143,0.9107142857142857,0.9107142857142857,0.9642857142857143,0.0535714285714286,0.0,0.0535714285714286,0.0535714285714286,0.0535714285714286,0.0535714285714286,90
CYBB,77,46,31,bayes,0.317,0.9481065918653576,0.465,0.9691444600280504,0.048,0.9642356241234222,0.9347826086956521,0.9628330995792427,0.8695652173913043,0.013323983169705511,-0.02103786816269282,0.013323983169705511,0.0014025245441795509,-0.06521739130434778,-0.09326788218793836,90
CYP11B1,39,34,5,bayes,0.0,1.0,1.0,1.0,0.417,0.9882352941176471,1.0,0.9764705882352941,0.9352941176470588,0.0,0.0,0.0,0.01176470588235301,-0.06470588235294117,-0.04117647058823526,90
CYP11B2,38,14,24,bayes,0.723,0.8958333333333333,0.0,0.9136904761904763,0.067,0.9583333333333334,0.8392857142857143,0.9523809523809524,0.8333333333333334,0.05654761904761896,-0.017857142857143016,0.05654761904761896,0.005952380952380931,-0.005952380952380931,-0.11904761904761907,90
CYP19A1,11,5,6,bayes,1.0,0.7,1.0,0.6333333333333333,0.404,0.8,0.6333333333333333,0.7666666666666666,0.7,0.06666666666666665,0.06666666666666665,0.06666666666666665,0.03333333333333344,0.06666666666666665,-0.06666666666666665,90
CYP27A1,17,12,5,bayes,0.259,0.9333333333333333,1.0,0.9166666666666667,0.0,0.9500000000000001,0.9166666666666667,0.9500000000000001,0.8666666666666667,0.016666666666666607,0.016666666666666607,0.016666666666666607,0.0,-0.050000000000000044,-0.08333333333333337,90
CYP27B1,25,20,5,bayes,0.14300000000000002,0.8800000000000001,0.0,0.9,0.0,0.98,0.8700000000000001,0.98,0.77,0.010000000000000009,-0.019999999999999907,0.010000000000000009,0.0,-0.10000000000000009,-0.20999999999999996,90
CYP4F22,21,11,10,bayes,0.811,0.9545454545454546,0.0,0.9272727272727272,0.0,1.0,0.9272727272727272,1.0,0.9454545454545454,0.027272727272727337,0.027272727272727337,0.027272727272727337,0.0,0.018181818181818188,-0.054545454545454564,90
DARS2,21,15,6,bayes,0.34800000000000003,0.9333333333333335,1.0,0.9222222222222223,0.5,0.9444444444444444,0.9222222222222223,0.9333333333333333,0.8666666666666667,0.011111111111111183,0.011111111111111183,0.011111111111111183,0.011111111111111072,-0.05555555555555558,-0.06666666666666665,90
DBT,24,16,8,bayes,0.5,1.0,1.0,0.9921875,1.0,0.9921875,0.9921875,0.953125,0.9921875,0.0078125,0.0078125,0.0078125,0.0390625,0.0,0.0390625,90
DCLRE1C,25,13,12,bayes,0.889,0.9294871794871795,0.0,1.0,0.6900000000000001,0.9615384615384617,0.8717948717948717,0.9166666666666667,0.9166666666666667,0.05769230769230782,-0.07051282051282048,0.05769230769230782,0.044871794871794934,0.044871794871795045,0.0,90
DEAF1,43,28,15,bayes,0.093,0.9476190476190477,0.431,0.9619047619047619,0.0,0.9690476190476192,0.9452380952380953,0.9690476190476192,0.6214285714285714,0.0023809523809523725,-0.014285714285714235,0.0023809523809523725,0.0,-0.3238095238095239,-0.3476190476190477,90
DEGS1,12,6,6,bayes,0.14200000000000002,0.8611111111111112,0.0,0.888888888888889,0.0,0.9722222222222223,0.8333333333333335,0.9722222222222223,0.8055555555555556,0.02777777777777768,-0.02777777777777779,0.02777777777777768,0.0,-0.0277777777777779,-0.16666666666666674,90
DKC1,20,14,6,bayes,0.306,0.9761904761904763,1.0,0.9642857142857143,0.6980000000000001,0.9166666666666667,0.9642857142857143,0.7857142857142857,0.8571428571428572,0.011904761904761973,0.011904761904761973,0.011904761904761973,0.13095238095238104,-0.1071428571428571,0.07142857142857151,90
DLL4,27,15,12,bayes,0.5,0.9777777777777777,1.0,0.9722222222222223,0.109,0.9777777777777777,0.9722222222222223,0.9611111111111111,0.8333333333333334,0.005555555555555425,0.005555555555555425,0.005555555555555425,0.016666666666666607,-0.13888888888888895,-0.12777777777777777,90
DNAI1,17,9,8,bayes,0.723,0.9305555555555556,0.0,0.9583333333333334,0.5,0.9722222222222222,0.9027777777777778,0.9027777777777778,0.9166666666666667,0.02777777777777779,-0.02777777777777779,0.02777777777777779,0.06944444444444442,0.01388888888888895,0.01388888888888895,90
DNM1,71,35,36,bayes,0.6940000000000001,0.819047619047619,1.0,0.7873015873015874,0.352,0.8595238095238094,0.7873015873015874,0.8452380952380952,0.7785714285714286,0.03174603174603163,0.03174603174603163,0.03174603174603163,0.014285714285714124,-0.00873015873015881,-0.06666666666666665,90
DNM2,31,22,9,bayes,0.667,0.5252525252525253,1.0,0.5050505050505051,0.0,0.8484848484848485,0.5050505050505051,0.8484848484848485,0.46464646464646464,0.02020202020202022,0.02020202020202022,0.02020202020202022,0.0,-0.04040404040404044,-0.38383838383838387,90
DOK7,23,7,16,bayes,0.0,0.8392857142857143,1.0,0.8392857142857143,0.0,0.9196428571428571,0.8392857142857143,0.9196428571428571,0.19642857142857142,0.0,0.0,0.0,0.0,-0.6428571428571429,-0.7232142857142857,90
DPF2,20,11,9,bayes,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.9898989898989898,0.9494949494949495,0.0,0.0,0.0,0.010101010101010166,-0.0505050505050505,-0.04040404040404033,90
