gene,n,n_pathogenic,n_benign,esm2_calm_weight,esm2_codon_rank,esm2_top_codon_weight_decile,esm2_cross_modal_gain,esm2_gain_rank,esm2_top_cross_modal_gain_decile,esm1b_calm_weight,esm1b_codon_rank,esm1b_top_codon_weight_decile,esm1b_gain_over_protein,esm1b_gain_rank,esm1b_top_gain_decile,top_weight_both_plm_backgrounds,top_weight_and_gain_within_esm2
ALAS2,21,15,6,0.72,59,False,0.1,24,True,0.19,246,False,1.1102230246251563e-16,307,False,False,False
DNAI1,17,9,8,0.72,62,False,-0.0277777777777777,441,False,0.25,227,False,0.0694444444444444,41,True,False,False
GATA2,52,37,15,0.72,63,False,0.0954954954954955,27,True,0.0,362,False,0.0,362,False,False,False
TNPO2,11,6,5,0.7000000000000001,68,False,-0.1333333333333334,466,False,0.14,268,False,0.1,21,True,False,False
FGFR3,49,32,17,0.68,70,False,0.0533088235294118,46,True,0.5700000000000001,83,False,0.0165441176470587,171,False,False,False
GPI,14,9,5,0.67,72,False,0.0666666666666666,41,True,0.79,34,True,0.1777777777777777,8,True,False,False
LHCGR,17,12,5,0.67,74,False,0.0,284,False,0.89,19,True,0.0999999999999999,23,True,False,False
MMUT,116,110,6,0.66,75,False,0.0833333333333335,33,True,0.09,286,False,0.0015151515151514,290,False,False,False
UROS,14,8,6,0.65,79,False,0.0833333333333333,34,True,0.86,23,True,0.1041666666666667,19,True,False,False
ERF,15,6,9,0.64,80,False,0.074074074074074,38,True,0.0,352,False,0.0,352,False,False,False
CYP19A1,11,5,6,0.62,87,False,0.0666666666666666,40,True,0.4,152,False,0.0333333333333334,108,False,False,False
GTPBP3,18,8,10,0.6,90,False,0.0625,43,True,0.63,70,False,0.0749999999999999,35,True,False,False
CAMK2B,62,5,57,0.59,93,False,0.0210526315789475,104,False,0.37,169,False,0.087719298245614,30,True,False,False
MSH2,341,109,232,0.59,94,False,-0.003044922492882,378,False,0.74,42,True,0.0537409047769692,64,False,False,False
GRIN1,97,61,36,0.5700000000000001,96,False,0.0482695810564663,54,False,0.6,75,False,0.0724043715846995,37,True,False,False
PADI6,12,7,5,0.56,103,False,0.1999999999999999,4,True,0.22,238,False,0.0285714285714286,124,False,False,False
PDE6C,16,11,5,0.56,104,False,0.1454545454545454,13,True,0.47,127,False,0.0909090909090908,26,True,False,False
PPP2R5D,18,13,5,0.56,105,False,0.0923076923076924,28,True,0.91,14,True,0.0461538461538462,74,False,False,False
IL7R,26,9,17,0.53,110,False,0.0326797385620915,75,False,0.74,41,True,0.0718954248366013,38,True,False,False
PRSS1,22,7,15,0.53,111,False,0.1047619047619048,22,True,0.81,30,True,0.0190476190476189,162,False,False,False
BAG3,15,5,10,0.51,115,False,0.0599999999999999,45,True,0.02,303,False,0.02,154,False,False,False
CDH1,106,17,89,0.5,119,False,0.0099140779907468,158,False,0.9,16,True,0.2432253800396563,2,True,False,False
MAK,13,6,7,0.5,125,False,0.0238095238095237,96,False,0.68,55,False,0.0714285714285714,39,True,False,False
ALOXE3,11,5,6,0.49,128,False,0.0999999999999998,26,True,0.38,159,False,0.0666666666666666,43,True,False,False
GLDC,90,78,12,0.45,141,False,0.0854700854700855,32,True,0.32,199,False,0.0149572649572649,185,False,False,False
ZMYND11,24,10,14,0.42,155,False,0.0214285714285714,103,False,0.8,31,True,0.1928571428571429,7,True,False,False
CCN6,15,10,5,0.41,156,False,0.1999999999999999,3,True,0.0,327,False,0.0,327,False,False,False
HBB,35,27,8,0.4,160,False,-0.0046296296296296,385,False,0.5700000000000001,84,False,0.1157407407407408,16,True,False,False
GNB1,29,18,11,0.38,171,False,0.0151515151515151,129,False,0.8200000000000001,27,True,0.0202020202020201,153,False,False,False
TCF4,84,40,44,0.38,172,False,0.0034090909090909,196,False,0.73,45,True,0.0437499999999999,83,False,False,False
WDR37,15,5,10,0.35,186,False,0.04,62,False,0.68,57,False,0.0999999999999999,24,True,False,False
TRAF7,21,9,12,0.32,195,False,0.0648148148148147,42,True,0.61,74,False,0.0185185185185186,164,False,False,False
PPP3CA,18,13,5,0.31,196,False,0.0769230769230767,37,True,0.81,29,True,0.0307692307692306,116,False,False,False
C1R,23,12,11,0.29,200,False,0.0075757575757575,169,False,0.75,38,True,0.0075757575757576,238,False,False,False
DKC1,20,14,6,0.29,201,False,0.0119047619047619,149,False,0.66,60,False,0.130952380952381,14,True,False,False
FMO3,27,16,11,0.27,205,False,0.0511363636363636,50,False,0.79,33,True,0.0568181818181817,57,False,False,False
KCNV2,25,11,14,0.25,215,False,-0.0064935064935064,390,False,0.9,17,True,0.1363636363636363,12,True,False,False
MMAB,18,12,6,0.25,217,False,0.0,298,False,0.38,167,False,0.111111111111111,17,True,False,False
SERPINA1,50,9,41,0.25,218,False,0.010840108401084,156,False,0.65,65,False,0.089430894308943,27,True,False,False
GLUD1,15,10,5,0.19,235,False,0.0,261,False,0.32,200,False,0.0799999999999999,32,True,False,False
PCCB,47,42,5,0.16,245,False,0.0,308,False,0.92,12,True,0.0047619047619047,262,False,False,False
SEC23B,11,6,5,0.15,251,False,0.0,322,False,0.14,267,False,0.0666666666666666,45,True,False,False
CYP27A1,17,12,5,0.14,252,False,0.0166666666666666,121,False,0.76,36,True,0.0166666666666667,169,False,False,False
DBT,24,16,8,0.14,253,False,0.0078125,168,False,0.86,22,True,0.0390625,95,False,False,False
SNAP25,25,17,8,0.14,254,False,0.0514705882352941,48,False,0.49,119,False,0.0661764705882352,47,True,False,False
KARS1,16,9,7,0.12,260,False,0.0,276,False,0.95,7,True,0.0158730158730159,178,False,False,False
ANOS1,17,7,10,0.08,276,False,0.0,217,False,0.38,160,False,0.0857142857142857,31,True,False,False
FOXF1,18,12,6,0.04,299,False,0.0138888888888888,137,False,0.72,46,True,0.0138888888888888,193,False,False,False
LPAR6,12,7,5,0.02,313,False,-0.0285714285714285,444,False,0.77,35,True,0.0285714285714286,123,False,False,False
COQ4,12,6,6,0.0,344,False,0.0,234,False,0.36,178,False,0.1666666666666667,9,True,False,False
FA2H,18,12,6,0.0,359,False,0.0,244,False,0.34,185,False,0.0972222222222222,25,True,False,False
FARSB,11,6,5,0.0,360,False,0.0,245,False,0.65,62,False,0.0666666666666667,42,True,False,False
HGD,42,35,7,0.0,379,False,-0.0040816326530611,382,False,0.81,28,True,0.0122448979591835,209,False,False,False
HSD17B10,15,10,5,0.0,385,False,0.0,273,False,0.76,37,True,0.0999999999999999,22,True,False,False
IL11RA,10,5,5,0.0,386,False,0.0,274,False,0.85,24,True,0.1599999999999999,10,True,False,False
PRMT7,10,5,5,0.0,418,False,0.0,313,False,0.6,77,False,0.1999999999999999,5,True,False,False
RARS1,12,7,5,0.0,422,False,0.0,317,False,0.88,20,True,0.2285714285714286,4,True,False,False
SELENON,13,5,8,0.0,428,False,0.0,323,False,0.92,13,True,1.1102230246251563e-16,311,False,False,False
UBQLN2,11,5,6,0.0,460,False,0.0,357,False,0.91,15,True,0.1999999999999999,6,True,False,False
XPC,16,5,11,0.0,465,False,0.0,361,False,0.88,21,True,0.1454545454545454,11,True,False,False
