gene,n,n_pathogenic,n_benign,ESM-2 650M AUROC,ESM-1b 650M AUROC,CaLM AUROC,esm2_calm_weight,esm2_cross_modal_gain,esm2_cross_modal_advantage,esm2_independent_calm_signal,esm1b_calm_weight,esm1b_gain_over_protein,esm1b_independent_calm_signal
MLC1,23,17,6,0.6764705882352942,0.6666666666666666,0.7450980392156863,0.748,-0.0294117647058823,-0.0196078431372548,0.06862745098039214,0.6900000000000001,0.0490196078431373,0.07843137254901966
DBT,24,16,8,0.9921875,0.953125,0.9921875,0.112,0.0,0.015625,0.0,0.6859999999999999,-0.046875,0.0390625
CNGB3,27,7,20,0.8714285714285713,0.8285714285714286,0.8642857142857143,0.5599999999999999,-0.0214285714285713,0.0,-0.0071428571428570065,0.6819999999999999,-0.0428571428571429,0.0357142857142857
MMACHC,25,20,5,0.5399999999999999,0.5800000000000001,0.7000000000000001,0.918,0.17,0.1599999999999999,0.16000000000000014,0.6759999999999999,-0.04,0.12
FGFR3,49,32,17,0.8786764705882353,0.9191176470588236,0.9209558823529412,0.6719999999999999,0.0533088235294118,0.0551470588235294,0.042279411764705954,0.674,-0.0036764705882352,0.0018382352941176405
RPE65,84,78,6,0.8952991452991453,0.8739316239316239,0.8739316239316239,0.444,0.0149572649572649,0.017094017094017,-0.021367521367521403,0.6679999999999999,0.0,0.0
TCF4,84,40,44,0.93125,0.9085227272727272,0.9096590909090908,0.344,-0.0056818181818182,0.0159090909090908,-0.021590909090909216,0.66,0.0386363636363635,0.001136363636363602
KRIT1,13,5,8,0.575,0.4999999999999999,0.525,0.538,-0.0749999999999999,-0.0749999999999999,-0.04999999999999993,0.658,-0.0999999999999999,0.025000000000000133
FMO3,27,16,11,0.8636363636363636,0.8352272727272727,0.8352272727272727,0.258,0.0454545454545454,0.0852272727272727,-0.02840909090909094,0.656,-0.0284090909090909,0.0
LPAR6,12,7,5,0.8285714285714285,0.7714285714285714,0.7714285714285714,0.172,-0.057142857142857,-0.0857142857142856,-0.05714285714285716,0.652,-0.057142857142857,0.0
PORCN,22,13,9,0.8034188034188036,0.8803418803418804,0.7948717948717949,0.642,-0.0341880341880342,0.0512820512820513,-0.008547008547008628,0.646,0.0256410256410255,-0.0854700854700855
GRIN1,97,61,36,0.8101092896174863,0.7714025500910746,0.8069216757741348,0.514,0.0396174863387979,0.0432604735883425,-0.0031876138433515333,0.64,0.0573770491803279,0.03551912568306015
AIFM1,31,16,15,0.9083333333333332,0.8208333333333333,0.8333333333333334,0.098,0.0,0.0124999999999999,-0.07499999999999984,0.634,0.025,0.012500000000000067
EMD,15,5,10,0.94,0.92,0.98,0.6679999999999999,0.0199999999999999,0.0399999999999999,0.040000000000000036,0.632,0.0399999999999999,0.05999999999999994
STING1,17,5,12,0.35,0.2666666666666667,0.5,0.6759999999999999,0.0499999999999999,0.0833333333333333,0.15000000000000002,0.624,0.0999999999999999,0.23333333333333328
GPI,14,9,5,0.9333333333333332,0.8222222222222223,1.0,0.4640000000000001,0.0222222222222222,0.0444444444444445,0.06666666666666676,0.62,-0.0222222222222222,0.1777777777777777
TP63,68,57,11,0.977671451355662,0.9393939393939394,0.6283891547049442,0.506,0.0159489633173843,0.0191387559808612,-0.34928229665071786,0.614,0.0287081339712917,-0.3110047846889953
SLC1A2,62,6,56,0.7946428571428571,0.7113095238095238,0.7410714285714286,0.126,-0.0148809523809523,-0.0119047619047618,-0.05357142857142849,0.608,-0.0714285714285715,0.029761904761904767
C1R,23,12,11,0.9848484848484848,0.9848484848484848,0.9924242424242424,0.22,-0.0075757575757575,-0.0075757575757575,0.00757575757575768,0.6,-0.0454545454545453,0.00757575757575768
ENG,171,61,110,0.8181818181818182,0.7719821162444114,0.7481371087928465,0.58,0.0363636363636362,0.0380029806259314,-0.07004470938897178,0.5959999999999999,0.0366616989567808,-0.023845007451564926
ADGRG1,21,9,12,0.7129629629629629,0.75,0.8055555555555556,0.786,0.0925925925925926,-0.0277777777777777,0.09259259259259267,0.5900000000000001,-0.0833333333333333,0.05555555555555558
