gene,n,n_pathogenic,n_benign,ESM-2 650M AUROC,ESM-1b 650M AUROC,CaLM AUROC,esm2_calm_weight,esm2_cross_modal_gain,esm2_cross_modal_advantage,esm2_independent_calm_signal,esm1b_calm_weight,esm1b_gain_over_protein,esm1b_independent_calm_signal
MLH1,189,155,34,0.825237191650854,0.8709677419354839,0.9018975332068312,0.8300000000000001,0.0861480075901327,-0.005313092979127,0.07666034155597723,0.73,0.0461100569259963,0.030929791271347318
KCNC3,13,5,8,0.725,0.8500000000000001,0.875,0.8200000000000001,0.15,0.15,0.15000000000000002,0.32,0.0249999999999999,0.02499999999999991
GARS1,28,17,11,0.7914438502673796,0.946524064171123,0.925133689839572,0.8200000000000001,0.1443850267379679,0.1390374331550802,0.13368983957219238,0.42,0.016042780748663,-0.021390374331551
COL6A2,95,51,44,0.962566844919786,0.9518716577540108,0.979946524064171,0.8200000000000001,0.0262923351158644,0.0169340463458109,0.017379679144385096,0.94,0.032976827094474,0.028074866310160207
ACTN4,19,9,10,0.9666666666666668,0.9111111111111112,1.0,0.8200000000000001,0.0333333333333332,0.0333333333333332,0.033333333333333215,0.71,0.0888888888888889,0.0888888888888888
RLIM,15,7,8,0.7857142857142857,1.0,0.9464285714285714,0.8,0.1607142857142857,0.125,0.1607142857142857,0.0,0.0,-0.0535714285714286
KRIT1,13,5,8,0.575,0.4999999999999999,0.525,0.8,0.0250000000000001,0.0250000000000001,-0.04999999999999993,0.89,0.1000000000000001,0.025000000000000133
SOX9,49,30,19,0.8982456140350876,0.8631578947368421,0.9982456140350878,0.8,0.1000000000000002,0.0859649122807018,0.1000000000000002,0.72,0.1350877192982457,0.1350877192982457
EMD,15,5,10,0.94,0.92,0.98,0.8,0.0399999999999999,0.0399999999999999,0.040000000000000036,0.74,0.0599999999999999,0.05999999999999994
ADGRG1,21,9,12,0.7129629629629629,0.75,0.8055555555555556,0.79,0.1111111111111111,-0.0092592592592591,0.09259259259259267,0.93,0.074074074074074,0.05555555555555558
SLC6A1,107,53,54,0.8081761006289309,0.8986722571628233,0.8403214535290008,0.79,0.0443745632424877,0.0436757512229211,0.03214535290006992,0.28,0.0034940600978337,-0.0583508036338225
GATA1,26,10,16,0.775,0.8875000000000001,0.93125,0.79,0.15625,0.15625,0.15625,0.8200000000000001,0.0437499999999999,0.043749999999999956
