gene,n,n_pathogenic,n_benign,ESM-2 650M AUROC,ESM-1b 650M AUROC,CaLM AUROC,esm2_calm_weight,esm2_cross_modal_gain,esm2_cross_modal_advantage,esm2_independent_calm_signal,esm1b_calm_weight,esm1b_gain_over_protein,esm1b_independent_calm_signal
WDR45,38,16,22,0.8892045454545455,0.8607954545454546,0.9119318181818182,0.66,0.0113636363636362,0.0284090909090908,0.022727272727272707,0.504,0.03125,0.051136363636363646
SOX5,28,16,12,0.8489583333333333,0.90625,0.9635416666666669,0.8220000000000001,0.1041666666666667,0.03125,0.11458333333333359,0.9,0.03125,0.05729166666666685
GATA1,26,10,16,0.775,0.8875000000000001,0.93125,0.76,0.1437499999999999,0.1624999999999999,0.15625,0.784,0.0312499999999998,0.043749999999999956
TP63,68,57,11,0.977671451355662,0.9393939393939394,0.6283891547049442,0.506,0.0159489633173843,0.0191387559808612,-0.34928229665071786,0.614,0.0287081339712917,-0.3110047846889953
OPA1,91,42,49,0.9275996112730804,0.9183673469387754,0.9101068999028183,0.564,0.0155490767735666,0.0179786200194362,-0.017492711370262093,0.462,0.0281827016520894,-0.008260447035957075
ATP6V1B2,12,6,6,1.0,0.9444444444444444,1.0,0.0,0.0,0.0555555555555555,0.0,0.074,0.0277777777777777,0.05555555555555558
DNAI1,17,9,8,0.9027777777777778,0.9027777777777778,0.9166666666666669,0.434,0.0,-0.0555555555555555,0.013888888888889062,0.2,0.0277777777777777,0.013888888888889062
ROBO4,25,6,19,0.4824561403508772,0.5350877192982456,0.6403508771929824,0.778,0.0350877192982456,0.1052631578947368,0.15789473684210525,0.82,0.0263157894736841,0.10526315789473684
PORCN,22,13,9,0.8034188034188036,0.8803418803418804,0.7948717948717949,0.642,-0.0341880341880342,0.0512820512820513,-0.008547008547008628,0.646,0.0256410256410255,-0.0854700854700855
EPHB4,79,17,62,0.9658444022770398,0.9658444022770398,0.944022770398482,0.4859999999999999,0.0104364326375712,0.0398481973434535,-0.02182163187855779,0.362,0.0256166982922201,-0.02182163187855779
AIFM1,31,16,15,0.9083333333333332,0.8208333333333333,0.8333333333333334,0.098,0.0,0.0124999999999999,-0.07499999999999984,0.634,0.025,0.012500000000000067
DKC1,20,14,6,0.9642857142857144,0.7857142857142857,0.8571428571428572,0.174,0.0,0.0476190476190476,-0.1071428571428572,0.514,0.0238095238095238,0.07142857142857151
MAK,13,6,7,0.9761904761904764,0.9285714285714286,1.0,0.4,-0.0238095238095239,-0.0238095238095238,0.023809523809523614,0.544,0.0238095238095237,0.0714285714285714
