gene,model,fold,raw_calm_weight,training_sd_plm,training_sd_calm,standardized_equivalent_calm_weight
ABCB7,ESM-2 650M + CaLM,1,0.4,1.9093281436563176,2.207818233804407,0.43531166156139856
ABCB7,ESM-2 650M + CaLM,2,0.2,2.003824780456975,2.3176052709349517,0.22429369157409396
ABCB7,ESM-2 650M + CaLM,3,0.4,2.040594246742699,2.4625902579050827,0.4458402188599718
ABCB7,ESM-2 650M + CaLM,4,0.25,1.5079784505380776,1.8875336430605965,0.29439955876388463
ABCB7,ESM-2 650M + CaLM,5,0.4,1.8592791018839736,2.420256701588118,0.46461417343865663
ABCB7,ESM-1b 650M + CaLM,1,0.56,3.463597483230071,2.0586531076043535,0.4306759596404323
ABCB7,ESM-1b 650M + CaLM,2,0.0,3.9584767311070466,2.3043884265820935,0.0
ABCB7,ESM-1b 650M + CaLM,3,0.56,3.720959828353664,2.238695249993597,0.43366181977814666
ABCB7,ESM-1b 650M + CaLM,4,0.56,3.2000568742328324,2.2571733968011984,0.4730528345706877
ABCB7,ESM-1b 650M + CaLM,5,0.56,3.9342632640752426,2.4375393659263307,0.44088465459901643
ABCD1,ESM-2 650M + CaLM,1,0.5,3.412066554981298,2.7456759733739946,0.4458900255622336
ABCD1,ESM-2 650M + CaLM,2,0.5,3.4580374785369723,2.7677317897170464,0.44456061098024613
ABCD1,ESM-2 650M + CaLM,3,0.5,3.421548126868842,2.767453716953212,0.44715671230825726
ABCD1,ESM-2 650M + CaLM,4,0.41,3.405462966871403,2.7504188155907756,0.3594866143043193
ABCD1,ESM-2 650M + CaLM,5,0.38,3.469824440515559,2.8398414056456556,0.33405442549460923
ABCD1,ESM-1b 650M + CaLM,1,0.18,4.253869541129301,2.7120122797361392,0.12276686486813046
ABCD1,ESM-1b 650M + CaLM,2,0.18,4.390174230179709,2.861744645641213,0.1251778646351617
ABCD1,ESM-1b 650M + CaLM,3,0.21,4.379714567562826,2.773770471576137,0.14409317350744255
ABCD1,ESM-1b 650M + CaLM,4,0.13,4.309340818816741,2.8062212855548365,0.08867635058350137
ABCD1,ESM-1b 650M + CaLM,5,0.13,4.251190401255494,2.7199939845868286,0.08726245043525574
ACAD9,ESM-2 650M + CaLM,1,0.0,3.3625398449033526,3.5667427571562285,0.0
ACAD9,ESM-2 650M + CaLM,2,0.39,3.824592437262851,3.547256617829081,0.37224689678337713
ACAD9,ESM-2 650M + CaLM,3,0.0,3.5126817880407812,3.093207271688292,0.0
ACAD9,ESM-2 650M + CaLM,4,0.39,3.749733939510374,3.4796907530898245,0.37237214008634034
ACAD9,ESM-2 650M + CaLM,5,0.45,3.6896046094060897,3.4735705943758695,0.43511619587536093
ACAD9,ESM-1b 650M + CaLM,1,0.67,3.913316562018771,3.538118736681226,0.6473463315420905
ACAD9,ESM-1b 650M + CaLM,2,0.36,3.8249057540279736,3.7040116148388016,0.35263391110991016
ACAD9,ESM-1b 650M + CaLM,3,0.67,3.355145365761731,3.2311156107384784,0.6616190103642566
ACAD9,ESM-1b 650M + CaLM,4,0.2,3.5459940692514995,3.42309010131236,0.19441569809310266
ACAD9,ESM-1b 650M + CaLM,5,0.36,3.703762743039364,3.2927046747145807,0.3333651322704557
ACADS,ESM-2 650M + CaLM,1,0.0,3.7381157727416867,3.6298236535779917,0.0
ACADS,ESM-2 650M + CaLM,2,0.0,3.840391537541472,3.3372745767881744,0.0
ACADS,ESM-2 650M + CaLM,3,0.47,3.388646699363438,3.2766755471163673,0.46163913529617534
ACADS,ESM-2 650M + CaLM,4,0.0,3.4180108737188806,3.1128887484003345,0.0
ACADS,ESM-2 650M + CaLM,5,0.0,3.384462508917968,3.177458895857965,0.0
ACADS,ESM-1b 650M + CaLM,1,0.19,3.0712143898300783,3.420227378242081,0.20711956625519015
ACADS,ESM-1b 650M + CaLM,2,0.19,2.3740120851682756,3.1712471890091867,0.2385825087948518
ACADS,ESM-1b 650M + CaLM,3,0.0,3.1595669508356554,3.3034185601367123,0.0
ACADS,ESM-1b 650M + CaLM,4,0.0,2.613215549237544,3.3127285497204513,0.0
ACADS,ESM-1b 650M + CaLM,5,0.19,2.9408349071151796,3.2683477808119297,0.20678427729267884
ACADVL,ESM-2 650M + CaLM,1,0.4,2.9968498595972135,2.6986910410701217,0.3751325909335507
ACADVL,ESM-2 650M + CaLM,2,0.26,3.115593361237187,2.687005048144308,0.23255126875260965
ACADVL,ESM-2 650M + CaLM,3,0.42,3.0054847914244,2.5091766670716256,0.37677542730007285
ACADVL,ESM-2 650M + CaLM,4,0.0,3.086636207090457,2.663603742699992,0.0
ACADVL,ESM-2 650M + CaLM,5,0.29,2.945648069490047,2.6667729065128998,0.26995639774705044
ACADVL,ESM-1b 650M + CaLM,1,0.0,3.266325410903877,2.646290769318165,0.0
ACADVL,ESM-1b 650M + CaLM,2,0.33,3.345581766613291,2.625813848358387,0.2787973941858639
ACADVL,ESM-1b 650M + CaLM,3,0.23,3.3247239742882444,2.6665442964561263,0.1932678743332926
ACADVL,ESM-1b 650M + CaLM,4,0.18,3.3463590353279233,2.58488552277201,0.14497874692999047
ACADVL,ESM-1b 650M + CaLM,5,0.08,3.1138289379836612,2.7044098411052886,0.07021989353776782
ACTN4,ESM-2 650M + CaLM,1,0.11,3.6345159991792357,3.6385130075348857,0.1101076511389773
ACTN4,ESM-2 650M + CaLM,2,0.8200000000000001,3.5645879637572784,3.441072861356727,0.8147360033083096
ACTN4,ESM-2 650M + CaLM,3,0.8200000000000001,3.7364941789683117,3.983478591325635,0.8292548111799464
ACTN4,ESM-2 650M + CaLM,4,0.8200000000000001,3.5696253928406483,3.6593172262057685,0.823633787280658
ACTN4,ESM-2 650M + CaLM,5,0.25,3.943744939092977,3.649920731431499,0.2357653936069091
ACTN4,ESM-1b 650M + CaLM,1,0.71,3.0524233039278235,3.3207928820262445,0.7270391244211657
ACTN4,ESM-1b 650M + CaLM,2,0.71,3.2459050117617854,3.558436603379511,0.7285564938585416
ACTN4,ESM-1b 650M + CaLM,3,0.0,3.4650329934152477,3.8331146465739065,0.0
ACTN4,ESM-1b 650M + CaLM,4,0.14,3.5576712807031985,3.758381237692363,0.1467392705819484
ACTN4,ESM-1b 650M + CaLM,5,0.71,3.423002677477708,3.926109831604035,0.7374031858281176
ACVRL1,ESM-2 650M + CaLM,1,0.17,2.875681905134955,2.5760751822931676,0.15503424121893392
ACVRL1,ESM-2 650M + CaLM,2,0.17,2.970121893648324,2.583241434749641,0.15120447222044017
ACVRL1,ESM-2 650M + CaLM,3,0.43,2.9773325614524238,2.536142906141355,0.3912086491880774
ACVRL1,ESM-2 650M + CaLM,4,0.3,2.857594597345426,2.5119957645945674,0.27364633394250865
ACVRL1,ESM-2 650M + CaLM,5,0.3,2.9249135222258897,2.555818523981736,0.2724574080934248
ACVRL1,ESM-1b 650M + CaLM,1,0.0,2.972389977663537,2.5738268019553407,0.0
ACVRL1,ESM-1b 650M + CaLM,2,0.27,2.8195231901803424,2.533441781286353,0.24943805125020338
ACVRL1,ESM-1b 650M + CaLM,3,0.0,2.746849698793045,2.5665748576074945,0.0
ACVRL1,ESM-1b 650M + CaLM,4,0.02,2.809856046934617,2.5667441841433236,0.01830124669285634
ACVRL1,ESM-1b 650M + CaLM,5,0.02,2.899175551927678,2.509527341528943,0.01735866676507926
ADA,ESM-2 650M + CaLM,1,0.0,3.229166760219079,2.602007798152937,0.0
ADA,ESM-2 650M + CaLM,2,0.0,3.1057387229476734,2.5885977643636138,0.0
ADA,ESM-2 650M + CaLM,3,0.0,3.1839474710988354,2.6476125476601964,0.0
ADA,ESM-2 650M + CaLM,4,0.0,3.3337576542287053,2.673165343858316,0.0
ADA,ESM-2 650M + CaLM,5,0.0,3.252217185343116,2.49643307065026,0.0
ADA,ESM-1b 650M + CaLM,1,0.0,4.2433854910059745,2.4124428850029496,0.0
ADA,ESM-1b 650M + CaLM,2,0.0,4.737143551218845,2.556086849135027,0.0
ADA,ESM-1b 650M + CaLM,3,0.0,4.450097874634648,2.589738241003609,0.0
ADA,ESM-1b 650M + CaLM,4,0.0,4.041348103508833,2.7559872048600846,0.0
ADA,ESM-1b 650M + CaLM,5,0.0,4.272702991595776,2.678252363225776,0.0
ADAMTSL2,ESM-2 650M + CaLM,1,0.0,5.143194659922241,1.3717331986077534,0.0
ADAMTSL2,ESM-2 650M + CaLM,2,0.0,4.1934502294593585,2.0253665966390297,0.0
ADAMTSL2,ESM-2 650M + CaLM,3,0.0,4.7313334281711255,2.0273669806345764,0.0
ADAMTSL2,ESM-2 650M + CaLM,4,0.0,4.6773677240005345,2.091478598134693,0.0
ADAMTSL2,ESM-2 650M + CaLM,5,0.0,4.787331954798863,2.0248412567316696,0.0
ADAMTSL2,ESM-1b 650M + CaLM,1,0.0,4.202773221481765,1.839282705264204,0.0
ADAMTSL2,ESM-1b 650M + CaLM,2,0.0,4.366960120700153,2.0248412567316696,0.0
ADAMTSL2,ESM-1b 650M + CaLM,3,0.0,4.570847790320335,1.6454819166866665,0.0
ADAMTSL2,ESM-1b 650M + CaLM,4,0.0,4.660381712809002,2.0273669806345764,0.0
ADAMTSL2,ESM-1b 650M + CaLM,5,0.0,4.8570263183428475,2.091478598134693,0.0
ADGRG1,ESM-2 650M + CaLM,1,0.79,2.4147839749191906,2.3650078898159252,0.7865236840433957
ADGRG1,ESM-2 650M + CaLM,2,0.79,2.0941475835504275,2.148947497112035,0.7942533627711788
ADGRG1,ESM-2 650M + CaLM,3,0.6,1.8138280400972393,1.4083874604554827,0.5380440668593529
ADGRG1,ESM-2 650M + CaLM,4,0.96,2.351092919893371,2.0351609749121082,0.954075692431509
ADGRG1,ESM-2 650M + CaLM,5,0.79,2.4303454763956576,2.2939550341166877,0.7802578130811811
ADGRG1,ESM-1b 650M + CaLM,1,0.93,2.6588384295639442,2.1759129704241897,0.9157726411649093
ADGRG1,ESM-1b 650M + CaLM,2,0.93,2.596750605194137,2.2245708379814575,0.9192345815776718
ADGRG1,ESM-1b 650M + CaLM,3,0.22,2.6243229649955833,1.8526207674519364,0.16604950845557434
ADGRG1,ESM-1b 650M + CaLM,4,0.0,2.1569025513979523,2.135596515360606,0.0
ADGRG1,ESM-1b 650M + CaLM,5,0.87,2.4296630502432035,1.9584913504174835,0.8436157018313679
AFG3L2,ESM-2 650M + CaLM,1,0.97,3.888049772620867,2.874836792857587,0.9598512457136843
AFG3L2,ESM-2 650M + CaLM,2,0.6,3.7702225313795563,2.691310234011684,0.5170831561668572
AFG3L2,ESM-2 650M + CaLM,3,0.84,3.5726407266077143,2.8049287851309104,0.8047579070927929
AFG3L2,ESM-2 650M + CaLM,4,0.7000000000000001,3.8837431260053994,2.9117783876663816,0.636281873574736
AFG3L2,ESM-2 650M + CaLM,5,0.84,3.2755297195743447,2.3181715880654834,0.78793574737993
AFG3L2,ESM-1b 650M + CaLM,1,0.25,4.705122100503669,2.4908301427399673,0.14999401886530658
AFG3L2,ESM-1b 650M + CaLM,2,0.5,4.138740560973236,2.4706100453790563,0.3738052635616782
AFG3L2,ESM-1b 650M + CaLM,3,0.5,5.101751696331739,2.9048582245053716,0.362807511946537
AFG3L2,ESM-1b 650M + CaLM,4,0.5,5.322468751307021,2.8793629814037893,0.3510634057414542
AFG3L2,ESM-1b 650M + CaLM,5,0.56,5.112810554935742,2.8360273659867135,0.4138231204992959
AIFM1,ESM-2 650M + CaLM,1,0.02,2.858793373786399,2.2404657246644017,0.0157423033558375
AIFM1,ESM-2 650M + CaLM,2,0.0,2.8007340195112773,2.593540859832306,0.0
AIFM1,ESM-2 650M + CaLM,3,0.27,2.623496245084679,2.4135078565992227,0.25387536178719133
AIFM1,ESM-2 650M + CaLM,4,0.0,2.7448117095991655,2.2948311082131996,0.0
AIFM1,ESM-2 650M + CaLM,5,0.2,2.8384875528140054,2.5992966764076373,0.18628615241558769
AIFM1,ESM-1b 650M + CaLM,1,0.64,4.540400005888069,2.2639843853294073,0.46990524466994293
AIFM1,ESM-1b 650M + CaLM,2,0.51,4.630322094167298,2.6256104348995364,0.37114504701776585
AIFM1,ESM-1b 650M + CaLM,3,0.56,4.757268209462674,2.484241574261348,0.3992612628738045
AIFM1,ESM-1b 650M + CaLM,4,0.9,4.078314206600738,2.202349921438069,0.8293554076358801
AIFM1,ESM-1b 650M + CaLM,5,0.56,4.500984873570843,2.5746885339855936,0.42130815093271123
AIRE,ESM-2 650M + CaLM,1,0.0,2.99248837956968,1.9613115852952334,0.0
AIRE,ESM-2 650M + CaLM,2,0.0,2.668725624720164,1.9540820745016823,0.0
AIRE,ESM-2 650M + CaLM,3,0.0,2.7588338458867057,2.167531709870129,0.0
AIRE,ESM-2 650M + CaLM,4,0.0,2.854793567390436,2.0426762996496715,0.0
AIRE,ESM-2 650M + CaLM,5,0.0,3.081185273500161,2.124692438812176,0.0
AIRE,ESM-1b 650M + CaLM,1,0.36,3.2269566616813674,2.0750396586225666,0.26562712542531874
AIRE,ESM-1b 650M + CaLM,2,0.56,3.7868735791941717,1.9692855967996494,0.39826300209869364
AIRE,ESM-1b 650M + CaLM,3,0.41,3.6533844253088605,2.033931315981217,0.27895545141248507
AIRE,ESM-1b 650M + CaLM,4,0.5,3.632520118668254,2.2219320783202705,0.37952860550526174
AIRE,ESM-1b 650M + CaLM,5,0.0,3.586983768838211,1.968096135434635,0.0
AK2,ESM-2 650M + CaLM,1,0.0,5.641307775563082,4.455566468741298,0.0
AK2,ESM-2 650M + CaLM,2,0.0,5.798944741694501,4.413379128750158,0.0
AK2,ESM-2 650M + CaLM,3,0.0,5.202626386416968,3.89472551253973,0.0
AK2,ESM-2 650M + CaLM,4,0.0,5.676487492333549,4.677586266142304,0.0
AK2,ESM-2 650M + CaLM,5,0.0,6.013046978524268,3.9757402304404468,0.0
AK2,ESM-1b 650M + CaLM,1,0.46,5.846731688817319,4.677586266142304,0.4052966967436545
AK2,ESM-1b 650M + CaLM,2,0.46,5.372058443002633,3.89472551253973,0.38179634525039235
AK2,ESM-1b 650M + CaLM,3,0.46,5.464968192660047,3.9800414402984448,0.38286420465416293
AK2,ESM-1b 650M + CaLM,4,0.46,5.532581262172043,4.307022564355058,0.3987322302951254
AK2,ESM-1b 650M + CaLM,5,0.0,6.30652398261197,4.581960964020028,0.0
ALAS2,ESM-2 650M + CaLM,1,0.72,3.8580580112876017,3.530887506715312,0.7017922262953222
ALAS2,ESM-2 650M + CaLM,2,0.72,3.4864154839527255,3.400959586314964,0.7149697879759755
ALAS2,ESM-2 650M + CaLM,3,0.34,3.704486396934719,3.6036679108188694,0.3338358622737083
ALAS2,ESM-2 650M + CaLM,4,0.45,3.6404423787999165,3.6446065945217514,0.45028296372777415
ALAS2,ESM-2 650M + CaLM,5,0.71,3.01925079455964,3.5200090189789695,0.740551869855308
ALAS2,ESM-1b 650M + CaLM,1,0.0,4.310599195827519,3.8080954461729712,0.0
ALAS2,ESM-1b 650M + CaLM,2,0.61,4.240836299062349,3.4196903956444262,0.557766340754223
ALAS2,ESM-1b 650M + CaLM,3,0.0,4.267848252685527,3.110525447839171,0.0
ALAS2,ESM-1b 650M + CaLM,4,0.19,4.602240631928283,3.7420450570358144,0.16017572420356252
ALAS2,ESM-1b 650M + CaLM,5,0.0,3.6311470767992997,3.6533362191815906,0.0
ALDH18A1,ESM-2 650M + CaLM,1,0.37,2.277390869421099,2.2101261995872044,0.3630391236127466
ALDH18A1,ESM-2 650M + CaLM,2,0.44,2.980679013278087,2.818669976498645,0.4262792690049023
ALDH18A1,ESM-2 650M + CaLM,3,0.15,2.5594898590737234,2.5307000567621643,0.14856342325570865
ALDH18A1,ESM-2 650M + CaLM,4,0.37,3.023547132232296,2.8817535215955856,0.3588754083550278
ALDH18A1,ESM-2 650M + CaLM,5,0.15,2.9415802966497386,2.5282808250243156,0.13170025342080258
ALDH18A1,ESM-1b 650M + CaLM,1,0.0,3.8880971823579262,2.7258531207138073,0.0
ALDH18A1,ESM-1b 650M + CaLM,2,0.0,3.8336978391508847,2.6398640237774504,0.0
ALDH18A1,ESM-1b 650M + CaLM,3,0.0,3.449655056141328,2.2009719354309327,0.0
ALDH18A1,ESM-1b 650M + CaLM,4,0.0,3.277313601218302,2.613040602127913,0.0
ALDH18A1,ESM-1b 650M + CaLM,5,0.0,4.097907121267564,2.9014152437564533,0.0
ALDH3A2,ESM-2 650M + CaLM,1,0.19,3.8463268879105907,2.839521686321191,0.14760714543818568
ALDH3A2,ESM-2 650M + CaLM,2,0.19,3.5683728463541446,2.928410492783121,0.1614254445487858
ALDH3A2,ESM-2 650M + CaLM,3,0.19,4.060655008444517,3.226026877616834,0.15708180968067278
ALDH3A2,ESM-2 650M + CaLM,4,0.19,4.366867370304809,3.2639587674502093,0.14917132938740715
ALDH3A2,ESM-2 650M + CaLM,5,0.02,4.197819550589253,3.254532093991609,0.015575822316373425
ALDH3A2,ESM-1b 650M + CaLM,1,0.0,4.269237925173561,3.2311928276786257,0.0
ALDH3A2,ESM-1b 650M + CaLM,2,0.0,4.19565687754487,3.0959231567232335,0.0
ALDH3A2,ESM-1b 650M + CaLM,3,0.04,4.121619499606291,3.2264757882429493,0.031587105871709716
ALDH3A2,ESM-1b 650M + CaLM,4,0.04,3.9576751303130218,3.166629511169805,0.03226288994232945
ALDH3A2,ESM-1b 650M + CaLM,5,0.04,3.6951659136550474,2.8768400040613105,0.03141998884855692
ALDH5A1,ESM-2 650M + CaLM,1,0.59,3.0890190646752678,2.7164436965611496,0.5585884587375123
ALDH5A1,ESM-2 650M + CaLM,2,0.32,3.2943296985249657,2.566853485932981,0.26829433457585594
ALDH5A1,ESM-2 650M + CaLM,3,0.32,3.4465322247995402,2.7329348748495716,0.2717495194223918
ALDH5A1,ESM-2 650M + CaLM,4,0.32,3.10180122334434,2.6149231789217273,0.28403779582242744
ALDH5A1,ESM-2 650M + CaLM,5,0.28,3.3208645210911083,2.7372138572150213,0.24273440292940465
ALDH5A1,ESM-1b 650M + CaLM,1,0.0,3.1044554081084224,2.7763154926809004,0.0
ALDH5A1,ESM-1b 650M + CaLM,2,0.01,3.3435928832631556,2.6983969846251927,0.008085954551679559
ALDH5A1,ESM-1b 650M + CaLM,3,0.01,3.254087958178666,2.5907915057495314,0.007977913507075591
ALDH5A1,ESM-1b 650M + CaLM,4,0.01,2.989068468032376,2.533283631360929,0.008488103927888584
ALDH5A1,ESM-1b 650M + CaLM,5,0.0,3.4137384240095745,2.756965571067889,0.0
ALG1,ESM-2 650M + CaLM,1,0.26,3.5010035797459476,3.0238646829245157,0.23281523486605415
ALG1,ESM-2 650M + CaLM,2,0.47,3.5245441428516266,2.883678896089294,0.4204738383387181
ALG1,ESM-2 650M + CaLM,3,0.32,3.393933612319508,3.0359472906095872,0.2962461589190003
ALG1,ESM-2 650M + CaLM,4,0.47,3.312363915079362,2.7908717520642536,0.4276483285545263
ALG1,ESM-2 650M + CaLM,5,0.47,3.2608768312208953,2.4185547365705764,0.396763176400601
ALG1,ESM-1b 650M + CaLM,1,0.46,4.561088920992989,2.9271648262194643,0.3534588614978736
ALG1,ESM-1b 650M + CaLM,2,0.35,4.469716357171426,2.8810529131029554,0.25765199246745485
ALG1,ESM-1b 650M + CaLM,3,0.56,4.486899609596501,2.7913383615337515,0.44189403900640145
ALG1,ESM-1b 650M + CaLM,4,0.56,3.958713546418541,2.909695766705301,0.48332905035815465
ALG1,ESM-1b 650M + CaLM,5,0.56,3.876465966481607,2.6997625324069365,0.46988698029871767
ALOXE3,ESM-2 650M + CaLM,1,0.49,3.4541567206883492,1.3324419743354168,0.2704046830009346
ALOXE3,ESM-2 650M + CaLM,2,0.4,2.5480826962082093,1.31804072986202,0.2564199374471876
ALOXE3,ESM-2 650M + CaLM,3,0.49,3.451683473577979,1.0838591354718352,0.231770748287491
ALOXE3,ESM-2 650M + CaLM,4,0.49,3.4005431923497835,1.2696825517395,0.26402087064721147
ALOXE3,ESM-2 650M + CaLM,5,0.38,3.187615544069413,1.0694356809812928,0.17055623092873315
ALOXE3,ESM-1b 650M + CaLM,1,0.0,3.1047148286780604,1.1072485578364215,0.0
ALOXE3,ESM-1b 650M + CaLM,2,0.38,2.9513545804794328,1.3657870987132867,0.22095984924522377
ALOXE3,ESM-1b 650M + CaLM,3,0.38,3.409540240441223,1.3480192376686144,0.1950554686721906
ALOXE3,ESM-1b 650M + CaLM,4,0.38,2.9321146100599367,1.039236242802612,0.17846441375706687
ALOXE3,ESM-1b 650M + CaLM,5,0.38,3.2157666635872832,1.2588804863819505,0.19350549158884772
AMHR2,ESM-2 650M + CaLM,1,0.0,2.4218610195439885,2.142261993220665,0.0
AMHR2,ESM-2 650M + CaLM,2,0.0,2.7017283234948097,2.289098675056679,0.0
AMHR2,ESM-2 650M + CaLM,3,0.0,2.589805188978937,1.5647479321753428,0.0
AMHR2,ESM-2 650M + CaLM,4,0.0,1.9324493085125842,2.1923983376877207,0.0
AMHR2,ESM-2 650M + CaLM,5,0.34,2.621938249316717,2.169247638280072,0.2988400290670504
AMHR2,ESM-1b 650M + CaLM,1,0.0,3.235760784332716,2.12451683882019,0.0
AMHR2,ESM-1b 650M + CaLM,2,0.0,2.936235131179424,1.546146305386819,0.0
AMHR2,ESM-1b 650M + CaLM,3,0.0,3.1653765670414287,2.2250310100013437,0.0
AMHR2,ESM-1b 650M + CaLM,4,0.0,2.743060428200752,2.1467613140425277,0.0
AMHR2,ESM-1b 650M + CaLM,5,0.08,2.3711218409775046,2.2229726783881087,0.07537832516332992
ANO3,ESM-2 650M + CaLM,1,0.0,3.399735034605954,1.914700940240375,0.0
ANO3,ESM-2 650M + CaLM,2,0.0,3.373564563472407,1.6969360645078169,0.0
ANO3,ESM-2 650M + CaLM,3,0.0,3.7097833710606207,2.043788239230854,0.0
ANO3,ESM-2 650M + CaLM,4,0.0,3.365381587678972,1.8664857182876216,0.0
ANO3,ESM-2 650M + CaLM,5,0.0,3.4876215554335945,2.0314078709501873,0.0
ANO3,ESM-1b 650M + CaLM,1,0.0,3.965022380045417,1.662231123459315,0.0
ANO3,ESM-1b 650M + CaLM,2,0.0,4.146338172839741,2.0065719218345834,0.0
ANO3,ESM-1b 650M + CaLM,3,0.0,4.003373868064595,1.952153720920408,0.0
ANO3,ESM-1b 650M + CaLM,4,0.0,3.9656049984237423,1.9207794482585276,0.0
ANO3,ESM-1b 650M + CaLM,5,0.0,4.020632208133533,2.0099089789370934,0.0
ANOS1,ESM-2 650M + CaLM,1,0.03,3.051227376627174,2.878452374786576,0.028349415719325224
ANOS1,ESM-2 650M + CaLM,2,0.06,3.5234937666963972,2.9801476573663614,0.0512215239581921
ANOS1,ESM-2 650M + CaLM,3,0.08,3.326708556975092,2.3107302377757653,0.05695960240147017
ANOS1,ESM-2 650M + CaLM,4,0.08,3.567185536267902,2.6946356426991613,0.061637784912982704
ANOS1,ESM-2 650M + CaLM,5,0.08,3.249882105234569,2.984300324711061,0.07394579578079644
ANOS1,ESM-1b 650M + CaLM,1,0.28,4.246703988218098,3.0206524972221303,0.21667792833279917
ANOS1,ESM-1b 650M + CaLM,2,0.38,4.657978886297039,3.153480014195191,0.29325585590385544
ANOS1,ESM-1b 650M + CaLM,3,0.38,4.612856920337519,2.641241961540398,0.25977345320988915
ANOS1,ESM-1b 650M + CaLM,4,0.38,4.5254227944101,2.298305471746383,0.23738190212617263
ANOS1,ESM-1b 650M + CaLM,5,0.38,3.8868001363976186,2.8123863824370603,0.30723006661441754
APP,ESM-2 650M + CaLM,1,0.07,2.4375989880002877,1.1599253844813517,0.034578015738691244
APP,ESM-2 650M + CaLM,2,0.09,2.5464341415096388,1.2156990389272153,0.04508771463691325
APP,ESM-2 650M + CaLM,3,1.0,2.6269019359882217,1.125288839315733,1.0
APP,ESM-2 650M + CaLM,4,0.84,2.625006814755096,1.013712967719294,0.6696858123386008
APP,ESM-2 650M + CaLM,5,0.97,2.6865003006559975,1.1948485434180802,0.9349829519172732
APP,ESM-1b 650M + CaLM,1,0.25,3.1759300482308195,1.1749854294152844,0.10978324466205013
APP,ESM-1b 650M + CaLM,2,0.0,4.391975801869429,1.1799670306855086,0.0
APP,ESM-1b 650M + CaLM,3,0.25,4.066646479155626,1.1022188837762446,0.08286015375535234
APP,ESM-1b 650M + CaLM,4,0.15,4.128009362963266,1.1589407669174168,0.04720545226149707
APP,ESM-1b 650M + CaLM,5,0.15,4.167228611814836,1.1174169042046158,0.04518154212030468
AR,ESM-2 650M + CaLM,1,0.85,2.627977147747167,2.4943321655279584,0.8432230837819263
AR,ESM-2 650M + CaLM,2,0.85,2.608465517816501,2.493669336922235,0.8441707839576399
AR,ESM-2 650M + CaLM,3,0.85,2.5548296825425423,2.525895669221802,0.8485419988364895
AR,ESM-2 650M + CaLM,4,0.9,2.634151361404636,2.6067257541850566,0.899054096715541
AR,ESM-2 650M + CaLM,5,0.0,2.541687549292859,2.5956168035237885,0.0
AR,ESM-1b 650M + CaLM,1,0.0,4.291442496023994,2.4508395900973183,0.0
AR,ESM-1b 650M + CaLM,2,0.0,4.280452775899219,2.5652394803038763,0.0
AR,ESM-1b 650M + CaLM,3,0.0,4.402172921742892,2.6496486361105434,0.0
AR,ESM-1b 650M + CaLM,4,0.0,4.3570447785259105,2.464308493945083,0.0
AR,ESM-1b 650M + CaLM,5,0.01,4.302283516133287,2.5878861710775687,0.0060392109645451865
ARSA,ESM-2 650M + CaLM,1,0.0,3.1539825221072264,2.768279770851612,0.0
ARSA,ESM-2 650M + CaLM,2,0.02,3.1760457478296296,2.7618256710848583,0.017437081706393756
ARSA,ESM-2 650M + CaLM,3,0.0,3.3071106292890002,2.6759526674537266,0.0
ARSA,ESM-2 650M + CaLM,4,0.0,3.3097849336468754,2.58987007488245,0.0
